"","room"
"double",0.29
"rooms",0.29
"breakfast",0.21
"internet",0.2
"free",0.19
"per",0.19
"bathroom",0.18
"hotel",0.18
"single",0.18
"clean",0.16
"dining",0.16
"night",0.16
"price",0.16
"private",0.16
"tv",0.16
"dorm",0.15
"friendly",0.15
"restaurant",0.15
"bed",0.14
"cable",0.14
"deluxe",0.14
"floor",0.14
"person",0.14
"pool",0.14
"staff",0.14
"beds",0.13
"dinner",0.13
"equipped",0.13
"kitchen",0.13
"prices",0.13
"rates",0.13
"shared",0.13
"shower",0.13
"suite",0.13
"wireless",0.13
"balcony",0.12
"bar",0.12
"bathrooms",0.12
"cost",0.12
"extra",0.12
"front",0.12
"guest",0.12
"guests",0.12
"hostel",0.12
"hot",0.12
"house",0.12
"laundry",0.12
"owner",0.12
"spacious",0.12
"wi-fi",0.12
"wifi",0.12
"air-con",0.11
"ask",0.11
"bath",0.11
"budget",0.11
"guesthouse",0.11
"included",0.11
"lounge",0.11
"menu",0.11
"offers",0.11
"open",0.11
"pay",0.11
"style",0.11
"terrace",0.11
"bit",0.1
"book",0.1
"buffet",0.1
"building",0.1
"coffee",0.1
"conference",0.1
"costs",0.1
"expensive",0.1
"fan",0.1
"food",0.1
"full",0.1
"garden",0.1
"good",0.1
"lobby",0.1
"massage",0.1
"meals",0.1
"money",0.1
"nice",0.1
"right",0.1
"selection",0.1
"standard",0.1
"stay",0.1
"tea",0.1
"toilet",0.1
"triple",0.1
"view",0.1
"-room",0.09
"always",0.09
"amenities",0.09
"available",0.09
"booking",0.09
"business",0.09
"buy",0.09
"charge",0.09
"cheap",0.09
"club",0.09
"corner",0.09
"depending",0.09
"dishes",0.09
"doubles",0.09
"drinks",0.09
"every",0.09
"exhibition",0.09
"family",0.09
"find",0.09
"fitness",0.09
"floors",0.09
"fresh",0.09
"furnished",0.09
"helpful",0.09
"hotels",0.09
"indoor",0.09
"inside",0.09
"lunch",0.09
"meal",0.09
"meeting",0.09
"modern",0.09
"music",0.09
"next",0.09
"offer",0.09
"office",0.09
"outdoor",0.09
"parking",0.09
"plus",0.09
"renovated",0.09
"rooftop",0.09
"satellite",0.09
"season",0.09
"shop",0.09
"simple",0.09
"start",0.09
"street",0.09
"swimming",0.09
"table",0.09
"taxi",0.09
"try",0.09
"two",0.09
"walk",0.09
"want",0.09
"will",0.09
"additional",0.08
"atmosphere",0.08
"back",0.08
"basic",0.08
"bedrooms",0.08
"behind",0.08
"big",0.08
"block",0.08
"cafe",0.08
"cards",0.08
"cheapest",0.08
"check",0.08
"courtyard",0.08
"cozy",0.08
"day",0.08
"decent",0.08
"decorated",0.08
"delicious",0.08
"desk",0.08
"different",0.08
"dormitory",0.08
"dorms",0.08
"driver",0.08
"dvd",0.08
"elegant",0.08
"en-suite",0.08
"ensuite",0.08
"evening",0.08
"excellent",0.08
"expect",0.08
"facilities",0.08
"fare",0.08
"four",0.08
"hair",0.08
"just",0.08
"little",0.08
"living",0.08
"luggage",0.08
"make",0.08
"may",0.08
"morning",0.08
"opposite",0.08
"option",0.08
"paying",0.08
"pick",0.08
"place",0.08
"quality",0.08
"quiet",0.08
"rate",0.08
"reasonable",0.08
"roof",0.08
"sauna",0.08
"sell",0.08
"serves",0.08
"show",0.08
"sit",0.08
"star",0.08
"suites",0.08
"tasting",0.08
"ticket",0.08
"time",0.08
"tour",0.08
"value",0.08
"vegetarian",0.08
"views",0.08
"wait",0.08
"walking",0.08
"'s",0.07
"advance",0.07
"apartments",0.07
"arrange",0.07
"attached",0.07
"authentic",0.07
"beer",0.07
"blocks",0.07
"boutique",0.07
"cheaper",0.07
"cocktails",0.07
"daily",0.07
"deposit",0.07
"door",0.07
"first",0.07
"fridge",0.07
"fully",0.07
"get",0.07
"great",0.07
"ground",0.07
"homemade",0.07
"include",0.07
"includes",0.07
"including",0.07
"jacuzzi",0.07
"large",0.07
"lcd",0.07
"left",0.07
"live",0.07
"look",0.07
"luxury",0.07
"mini",0.07
"offering",0.07
"owners",0.07
"quite",0.07
"reception",0.07
"seating",0.07
"service",0.07
"shuttle",0.07
"side",0.07
"three",0.07
"top",0.07
"twin",0.07
"windows",0.07
"without",0.07
