"","opened"
"recently",0.13
"first",0.12
"newly",0.12
"shopping",0.12
"business",0.11
"building",0.1
"cinema",0.1
"club",0.1
"modern",0.1
"closed",0.09
"floor",0.09
"food",0.09
"free",0.09
"mall",0.09
"music",0.09
"new",0.09
"now",0.09
"restaurant",0.09
"serves",0.09
"shops",0.09
"theatre",0.09
"years",0.09
"art",0.08
"bar",0.08
"bars",0.08
"branch",0.08
"collection",0.08
"concert",0.08
"designed",0.08
"features",0.08
"football",0.08
"hall",0.08
"house",0.08
"including",0.08
"indoor",0.08
"late",0.08
"newest",0.08
"open",0.08
"original",0.08
"retail",0.08
"selection",0.08
"since",0.08
"stadium",0.08
"store",0.08
"style",0.08
"variety",0.08
"venue",0.08
"wide",0.08
"works",0.08
"completed",0.07
"complex",0.07
"crowd",0.07
"dance",0.07
"dishes",0.07
"events",0.07
"exhibition",0.07
"live",0.07
"museum",0.07
"november",0.07
"opening",0.07
"prices",0.07
"renovated",0.07
"serving",0.07
"set",0.07
"shop",0.07
"staff",0.07
"students",0.07
