"","lord"
"shiva",0.4
"temple",0.39
"believed",0.24
"temples",0.24
"india",0.23
"tamil",0.23
"goddess",0.22
"sri",0.22
"hindu",0.21
"said",0.17
"temple'''",0.17
"holy",0.16
"kms",0.16
"raja",0.15
"worship",0.15
"dedicated",0.14
"indian",0.14
"sacred",0.14
"delhi",0.13
"famous",0.13
"km",0.13
"nominal",0.13
"connected",0.12
"god",0.12
"pilgrims",0.12
"shrine",0.12
"situated",0.12
"rs",0.11
"stand",0.11
"auto",0.1
"baba",0.1
"conducted",0.1
"mumbai",0.1
"performed",0.1
"pilgrimage",0.1
"rickshaws",0.1
"rulers",0.1
"supposed",0.1
"vegetarian",0.1
"ancient",0.09
"district",0.09
"installed",0.09
"ply",0.09
"railway",0.09
"rickshaw",0.09
"spiritual",0.09
"wife",0.09
"birth",0.08
"brother",0.08
"form",0.08
"hence",0.08
"images",0.08
"nearest",0.08
"place",0.08
"religious",0.08
"shrines",0.08
"called",0.07
"feet",0.07
"literature",0.07
"present",0.07
