"","machines"
"vending",0.41
"tickets",0.19
"card",0.17
"slot",0.17
"valid",0.16
"accept",0.14
"machine",0.14
"ticket",0.14
"tram",0.13
"automatic",0.12
"trams",0.12
"atm",0.11
"cards",0.11
"credit",0.11
"fares",0.11
"purchased",0.11
"buy",0.1
"cash",0.1
"city's",0.1
"stations",0.1
"subject",0.1
"bought",0.09
"buying",0.09
"coins",0.09
"electronic",0.09
"legal",0.09
"note",0.09
"offices",0.09
"purchase",0.09
"subway",0.09
"system",0.09
"use",0.09
"video",0.09
"apply",0.08
"avoid",0.08
"cheaper",0.08
"debit",0.08
"european",0.08
"even",0.08
"every",0.08
"exchange",0.08
"generally",0.08
"give",0.08
"lines",0.08
"money",0.08
"network",0.08
"often",0.08
"parking",0.08
"platform",0.08
"prepaid",0.08
"rather",0.08
"students",0.08
"sure",0.08
"tipping",0.08
"ubiquitous",0.08
"using",0.08
"usually",0.08
"work",0.08
"zones",0.08
"change",0.07
"driver",0.07
"english",0.07
"extra",0.07
"foreign",0.07
"hesitate",0.07
"inside",0.07
"keep",0.07
"need",0.07
"offer",0.07
"online",0.07
"order",0.07
"pay",0.07
"sell",0.07
"serve",0.07
"single",0.07
"smoking",0.07
"sold",0.07
"streets",0.07
"student",0.07
"train",0.07
"unlimited",0.07
