"","library"
"public",0.17
"su",0.16
"sa",0.15
"computers",0.14
"f-sa",0.14
"st",0.13
"arts",0.12
"ave",0.12
"books",0.12
"free",0.12
"collection",0.11
"internet",0.11
"theatre",0.11
"branch",0.1
"building",0.1
"center",0.1
"historic",0.1
"memorial",0.1
"rd",0.1
"street",0.1
"th",0.1
"university",0.1
"county",0.09
"downtown",0.09
"dr",0.09
"friday",0.09
"inn",0.09
"m-f",0.09
"m-th",0.09
"museum",0.09
"park",0.09
"pizza",0.09
"post",0.09
"school",0.09
"store",0.09
"thursday",0.09
"wi-fi",0.09
"access",0.08
"american",0.08
"art",0.08
"avenue",0.08
"bar",0.08
"blvd",0.08
"college",0.08
"community",0.08
"diner",0.08
"events",0.08
"features",0.08
"gallery",0.08
"grill",0.08
"historical",0.08
"history",0.08
"house",0.08
"m-sa",0.08
"music",0.08
"newspaper",0.08
"students",0.08
"tavern",0.08
"wireless",0.08
"baseball",0.07
"campus",0.07
"children's",0.07
"cinema",0.07
"corner",0.07
"exhibits",0.07
"grocery",0.07
"hall",0.07
"hospital",0.07
"parks",0.07
"saturday",0.07
"society",0.07
"york",0.07
