"","m-f"
"sa",0.29
"su",0.25
"m-sa",0.22
"m-th",0.22
"sa-su",0.22
"holidays",0.14
"tu-sa",0.14
"f-sa",0.13
"th",0.12
"closed",0.11
"free",0.11
"tu-su",0.11
"children",0.1
"theatre",0.1
"exhibits",0.09
"library",0.09
"museum",0.09
"art",0.08
"austrian",0.08
"ave",0.08
"baroque",0.08
"center",0.08
"collection",0.08
"discount",0.08
"hungarian",0.08
"office",0.08
"orchestra",0.08
"rd",0.08
"sat",0.08
"sep",0.08
"st",0.08
"arts",0.07
"building",0.07
"exhibit",0.07
"gallery",0.07
"history",0.07
"open",0.07
"restaurant",0.07
"rotating",0.07
"students",0.07
"visitor",0.07
