"","kill"
"outer",0.22
"duck",0.2
"towels",0.2
"designs",0.19
"vacation",0.15
"rentals",0.14
"banks",0.12
"homes",0.1
"extended",0.09
"reason",0.08
"sales",0.08
"ill",0.07
