"","civilian"
"personnel",0.25
"military",0.18
"restricted",0.16
"defense",0.13
"dependent",0.13
"force",0.11
"americans",0.09
"research",0.09
"wake",0.09
"base",0.08
"navy",0.08
"support",0.08
"us",0.08
"air",0.07
"control",0.07
"united",0.07
