"","atmosphere"
"friendly",0.17
"bar",0.16
"great",0.16
"menu",0.15
"relaxed",0.15
"food",0.14
"music",0.14
"restaurant",0.14
"selection",0.14
"live",0.13
"place",0.13
"dining",0.12
"offers",0.12
"prices",0.12
"pub",0.12
"authentic",0.11
"bars",0.11
"casual",0.11
"crowd",0.11
"excellent",0.11
"fun",0.11
"italian",0.11
"nice",0.11
"seating",0.11
"staff",0.11
"variety",0.11
"beer",0.1
"best",0.1
"cafe",0.1
"coffee",0.1
"cozy",0.1
"cuisine",0.1
"dance",0.1
"delicious",0.1
"dinner",0.1
"drinks",0.1
"enjoy",0.1
"family",0.1
"feel",0.1
"free",0.1
"fresh",0.1
"full",0.1
"good",0.1
"looking",0.1
"lunch",0.1
"night",0.1
"pizza",0.1
"reasonable",0.1
"sandwiches",0.1
"serves",0.1
"students",0.1
"style",0.1
"unique",0.1
"always",0.09
"breakfast",0.09
"cocktail",0.09
"intimate",0.09
"just",0.09
"lounge",0.09
"offer",0.09
"open",0.09
"pasta",0.09
"patio",0.09
"pool",0.09
"sit",0.09
"specials",0.09
"steaks",0.09
"sushi",0.09
"wide",0.09
"'re",0.08
"affordable",0.08
"american",0.08
"art",0.08
"beers",0.08
"bit",0.08
"cheap",0.08
"chef",0.08
"classic",0.08
"club",0.08
"cocktails",0.08
"cosy",0.08
"customers",0.08
"different",0.08
"dishes",0.08
"downtown",0.08
"elegant",0.08
"entrees",0.08
"events",0.08
"every",0.08
"floor",0.08
"friday",0.08
"genuine",0.08
"gourmet",0.08
"happy",0.08
"homemade",0.08
"indoor",0.08
"little",0.08
"meal",0.08
"nights",0.08
"order",0.08
"outdoor",0.08
"pint",0.08
"play",0.08
"price",0.08
"quality",0.08
"quiet",0.08
"relaxing",0.08
"right",0.08
"room",0.08
"salads",0.08
"saturday",0.08
"shop",0.08
"shops",0.08
"shows",0.08
"student",0.08
"sure",0.08
"tables",0.08
"theatre",0.08
"trendy",0.08
"try",0.08
"university",0.08
"vegan",0.08
"want",0.08
"worth",0.08
"'s",0.07
"alley",0.07
"arts",0.07
"bands",0.07
"definitely",0.07
"deli",0.07
"design",0.07
"downstairs",0.07
"drink",0.07
"expect",0.07
"expensive",0.07
"favorite",0.07
"fine",0.07
"garden",0.07
"heart",0.07
"house",0.07
"jazz",0.07
"kids",0.07
"make",0.07
"mexican",0.07
"offering",0.07
"party",0.07
"perfect",0.07
"playing",0.07
"plays",0.07
"popular",0.07
"priced",0.07
"range",0.07
"romantic",0.07
"run",0.07
"salad",0.07
"seafood",0.07
"shopping",0.07
"something",0.07
"sports",0.07
"street",0.07
"stylish",0.07
"table",0.07
"terrace",0.07
"upscale",0.07
"vegetarian",0.07
"venues",0.07
"walking",0.07
