"","made"
"sweet",0.15
"dish",0.14
"famous",0.13
"like",0.13
"milk",0.13
"called",0.12
"cheese",0.12
"drink",0.12
"eaten",0.12
"hand",0.12
"make",0.12
"try",0.12
"boiled",0.11
"buy",0.11
"cooked",0.11
"different",0.11
"dishes",0.11
"dried",0.11
"fermented",0.11
"flour",0.11
"fresh",0.11
"freshly",0.11
"local",0.11
"rice",0.11
"soup",0.11
"sour",0.11
"taste",0.11
"almost",0.1
"ask",0.1
"even",0.1
"fried",0.1
"items",0.1
"known",0.1
"meat",0.1
"one",0.1
"people",0.1
"products",0.1
"sauce",0.1
"since",0.1
"sold",0.1
"special",0.1
"used",0.1
"added",0.09
"also",0.09
"always",0.09
"beef",0.09
"best",0.09
"built",0.09
"can",0.09
"coconut",0.09
"especially",0.09
"find",0.09
"first",0.09
"floor",0.09
"food",0.09
"found",0.09
"kind",0.09
"locally",0.09
"look",0.09
"may",0.09
"mixed",0.09
"must",0.09
"often",0.09
"order",0.09
"pieces",0.09
"place",0.09
"pork",0.09
"prepared",0.09
"sell",0.09
"served",0.09
"sometimes",0.09
"spicy",0.09
"still",0.09
"time",0.09
"unique",0.09
"usually",0.09
"various",0.09
"women",0.09
"years",0.09
"among",0.08
"another",0.08
"available",0.08
"back",0.08
"became",0.08
"bottled",0.08
"bread",0.08
"brought",0.08
"cake",0.08
"carry",0.08
"cold",0.08
"common",0.08
"decorated",0.08
"delicious",0.08
"dessert",0.08
"dough",0.08
"drinks",0.08
"feel",0.08
"filled",0.08
"form",0.08
"fruit",0.08
"fruits",0.08
"government",0.08
"grapes",0.08
"help",0.08
"inside",0.08
"juice",0.08
"kinds",0.08
"locals",0.08
"modern",0.08
"money",0.08
"night",0.08
"others",0.08
"purchase",0.08
"religious",0.08
"shop",0.08
"similar",0.08
"style",0.08
"tasty",0.08
"tradition",0.08
"type",0.08
"typical",0.08
"using",0.08
"varieties",0.08
"variety",0.08
"vegetables",0.08
"version",0.08
"visit",0.08
"well",0.08
"white",0.08
"wines",0.08
"without",0.08
"work",0.08
"avoid",0.07
"baked",0.07
"based",0.07
"beautiful",0.07
"big",0.07
"building",0.07
"citizens",0.07
"coffee",0.07
"consumed",0.07
"cost",0.07
"cultural",0.07
"currency",0.07
"drivers",0.07
"due",0.07
"egg",0.07
"english",0.07
"enjoy",0.07
"experience",0.07
"foreign",0.07
"front",0.07
"give",0.07
"include",0.07
"know",0.07
"living",0.07
"lot",0.07
"making",0.07
"month",0.07
"much",0.07
"pay",0.07
"popular",0.07
"potato",0.07
"price",0.07
"quality",0.07
"quite",0.07
"red",0.07
"see",0.07
"slices",0.07
"steamed",0.07
"sugar",0.07
"sure",0.07
"sweets",0.07
"throughout",0.07
"tourist",0.07
"use",0.07
"vegetarian",0.07
"water",0.07
"wide",0.07
"widely",0.07
"will",0.07
"works",0.07
