"","beachside"
"beach",0.17
"beachfront",0.12
"surf",0.11
"surfing",0.1
"backpacker",0.09
"grab",0.09
"terrific",0.09
"chill",0.08
"tropical",0.08
"barrier",0.07
"coast",0.07
