"","beer"
"brewery",0.23
"beers",0.18
"bar",0.17
"brewed",0.16
"breweries",0.16
"drinks",0.16
"bars",0.15
"brewing",0.15
"food",0.15
"music",0.15
"selection",0.15
"cheap",0.14
"draft",0.14
"drink",0.14
"pub",0.14
"german",0.13
"live",0.13
"menu",0.13
"prices",0.13
"brews",0.12
"good",0.12
"bottle",0.11
"expensive",0.11
"free",0.11
"night",0.11
"often",0.11
"price",0.11
"restaurant",0.11
"tap",0.11
"try",0.11
"usually",0.11
"wine",0.11
"always",0.1
"atmosphere",0.1
"best",0.1
"bit",0.1
"bottles",0.1
"buy",0.1
"clubs",0.1
"cocktails",0.1
"crowd",0.1
"dishes",0.1
"drinking",0.1
"especially",0.1
"european",0.1
"every",0.1
"excellent",0.1
"find",0.1
"friendly",0.1
"great",0.1
"imported",0.1
"liquor",0.1
"locals",0.1
"pay",0.1
"quality",0.1
"serve",0.1
"serves",0.1
"students",0.1
"style",0.1
"university",0.1
"variety",0.1
"alcohol",0.09
"ask",0.09
"big",0.09
"brands",0.09
"cheaper",0.09
"cheapest",0.09
"coffee",0.09
"cold",0.09
"company",0.09
"decent",0.09
"even",0.09
"expect",0.09
"fresh",0.09
"full",0.09
"generally",0.09
"germany",0.09
"happy",0.09
"karaoke",0.09
"keep",0.09
"local",0.09
"might",0.09
"next",0.09
"nice",0.09
"nights",0.09
"offer",0.09
"open",0.09
"playing",0.09
"reasonable",0.09
"serving",0.09
"sometimes",0.09
"staff",0.09
"stores",0.09
"student",0.09
"sure",0.09
"table",0.09
"tend",0.09
"vegetarian",0.09
"'ll",0.08
"'re",0.08
"'s",0.08
"around",0.08
"art",0.08
"available",0.08
"avoid",0.08
"bands",0.08
"behind",0.08
"belgian",0.08
"bottled",0.08
"brew",0.08
"business",0.08
"choice",0.08
"citizens",0.08
"club",0.08
"cocktail",0.08
"common",0.08
"corner",0.08
"cost",0.08
"dance",0.08
"dark",0.08
"der",0.08
"eat",0.08
"english",0.08
"floor",0.08
"fun",0.08
"garden",0.08
"get",0.08
"glass",0.08
"internet",0.08
"just",0.08
"large",0.08
"like",0.08
"list",0.08
"look",0.08
"lots",0.08
"lunch",0.08
"make",0.08
"meal",0.08
"meat",0.08
"modern",0.08
"offers",0.08
"outside",0.08
"per",0.08
"place",0.08
"popular",0.08
"pubs",0.08
"quite",0.08
"real",0.08
"sandwiches",0.08
"sell",0.08
"selling",0.08
"served",0.08
"sit",0.08
"specials",0.08
"tables",0.08
"tickets",0.08
"upstairs",0.08
"use",0.08
"want",0.08
"weekends",0.08
"well",0.08
"will",0.08
"worth",0.08
"young",0.08
"american",0.07
"another",0.07
"average",0.07
"better",0.07
"bike",0.07
"cafe",0.07
"check",0.07
"compared",0.07
"cuisine",0.07
"delicious",0.07
"door",0.07
"downtown",0.07
"drivers",0.07
"drunken",0.07
"events",0.07
"feel",0.07
"fine",0.07
"foreign",0.07
"found",0.07
"front",0.07
"hard",0.07
"highly",0.07
"including",0.07
"least",0.07
"lively",0.07
"market",0.07
"much",0.07
"nightlife",0.07
"number",0.07
"old",0.07
"order",0.07
"outdoor",0.07
"patrons",0.07
"pedestrian",0.07
"police",0.07
"pool",0.07
"priced",0.07
"problem",0.07
"right",0.07
"room",0.07
"saturday",0.07
"shopping",0.07
"shops",0.07
"shows",0.07
"special",0.07
"spirits",0.07
"still",0.07
"street",0.07
"streets",0.07
"system",0.07
"upscale",0.07
"valid",0.07
"vodka",0.07
"wait",0.07
"wide",0.07
