"","served"
"major",0.12
"serve",0.12
"airlines",0.11
"airport",0.11
"serving",0.11
"beef",0.1
"cooked",0.1
"dishes",0.1
"often",0.1
"service",0.1
"services",0.1
"although",0.09
"cities",0.09
"dish",0.09
"eaten",0.09
"especially",0.09
"food",0.09
"fried",0.09
"generally",0.09
"include",0.09
"line",0.09
"made",0.09
"menu",0.09
"regional",0.09
"serves",0.09
"throughout",0.09
"united",0.09
"use",0.09
"usually",0.09
"variety",0.09
"well",0.09
"airport'''",0.08
"always",0.08
"american",0.08
"areas",0.08
"avoid",0.08
"beer",0.08
"carriers",0.08
"cuisine",0.08
"downtown",0.08
"flights",0.08
"hub",0.08
"lines",0.08
"low-cost",0.08
"lunch",0.08
"meat",0.08
"modern",0.08
"pork",0.08
"routes",0.08
"sauce",0.08
"special",0.08
"stations",0.08
"tickets",0.08
"trains",0.08
"university",0.08
"added",0.07
"amtrak",0.07
"boiled",0.07
"despite",0.07
"different",0.07
"domestic",0.07
"english",0.07
"frequently",0.07
"like",0.07
"local",0.07
"note",0.07
"prepared",0.07
"public",0.07
"rice",0.07
"salad",0.07
"soup",0.07
"spicy",0.07
"traffic",0.07
"used",0.07
