"","leaves"
"arrives",0.23
"leave",0.18
"bus",0.14
"returns",0.14
"cost",0.13
"costs",0.13
"takes",0.13
"morning",0.12
"leaving",0.11
"take",0.11
"trip",0.11
"ask",0.1
"buses",0.1
"depending",0.1
"buy",0.09
"get",0.09
"hours",0.09
"last",0.09
"pay",0.09
"return",0.09
"afternoon",0.08
"around",0.08
"arriving",0.08
"bangkok",0.08
"boat",0.08
"boiled",0.08
"change",0.08
"depart",0.08
"departs",0.08
"every",0.08
"hour",0.08
"might",0.08
"price",0.08
"ride",0.08
"station",0.08
"taxi",0.08
"terminal",0.08
"ticket",0.08
"tickets",0.08
"visa",0.08
"arrange",0.07
"border",0.07
"daily",0.07
"journey",0.07
"may",0.07
"money",0.07
"note",0.07
"passport",0.07
"possible",0.07
"prepared",0.07
"shared",0.07
"time",0.07
"will",0.07
