"","stores"
"shopping",0.25
"mall",0.19
"store",0.18
"grocery",0.16
"chain",0.15
"clothing",0.15
"downtown",0.13
"food",0.13
"malls",0.13
"retail",0.13
"bars",0.12
"department",0.12
"liquor",0.12
"american",0.11
"business",0.11
"find",0.11
"selection",0.11
"sell",0.11
"shops",0.11
"street",0.11
"variety",0.11
"dining",0.1
"many",0.1
"parking",0.1
"pizza",0.1
"shoe",0.1
"always",0.09
"avenue",0.09
"bar",0.09
"beer",0.09
"buy",0.09
"card",0.09
"center",0.09
"chains",0.09
"check",0.09
"free",0.09
"including",0.09
"italian",0.09
"large",0.09
"live",0.09
"movie",0.09
"music",0.09
"offer",0.09
"offers",0.09
"outlet",0.09
"purchase",0.09
"selling",0.09
"specialty",0.09
"sports",0.09
"streets",0.09
"throughout",0.09
"trendy",0.09
"upscale",0.09
"wide",0.09
"'re",0.08
"areas",0.08
"brands",0.08
"casual",0.08
"cheap",0.08
"cinemas",0.08
"city's",0.08
"clubs",0.08
"common",0.08
"court",0.08
"discount",0.08
"events",0.08
"every",0.08
"features",0.08
"found",0.08
"generally",0.08
"goods",0.08
"great",0.08
"ice",0.08
"include",0.08
"indoor",0.08
"items",0.08
"located",0.08
"locations",0.08
"looking",0.08
"new",0.08
"often",0.08
"outdoor",0.08
"play",0.08
"plays",0.08
"popular",0.08
"prices",0.08
"public",0.08
"rental",0.08
"service",0.08
"several",0.08
"sporting",0.08
"square",0.08
"strip",0.08
"system",0.08
"things",0.08
"traffic",0.08
"usually",0.08
"well",0.08
"accept",0.07
"antique",0.07
"beers",0.07
"burger",0.07
"businesses",0.07
"days",0.07
"everything",0.07
"expensive",0.07
"fun",0.07
"high-end",0.07
"hockey",0.07
"includes",0.07
"like",0.07
"menu",0.07
"money",0.07
"paid",0.07
"places",0.07
"police",0.07
"purchased",0.07
"quality",0.07
"restaurant",0.07
"serve",0.07
"shoppers",0.07
"smaller",0.07
"subway",0.07
"sure",0.07
"theatre",0.07
"try",0.07
"typically",0.07
"united",0.07
"university",0.07
"want",0.07
"within",0.07
"work",0.07
"york",0.07
