"","exhibition"
"permanent",0.17
"art",0.15
"history",0.15
"museum",0.15
"building",0.14
"collection",0.13
"hall",0.12
"hungarian",0.12
"centre",0.11
"gallery",0.11
"works",0.11
"baroque",0.1
"castle",0.1
"church",0.1
"folk",0.1
"painting",0.1
"rebuilt",0.1
"tower",0.1
"altar",0.09
"built",0.09
"century",0.09
"former",0.09
"room",0.09
"artist",0.08
"aug",0.08
"catholic",0.08
"ceramic",0.08
"chapel",0.08
"decorated",0.08
"halls",0.08
"modern",0.08
"monument",0.08
"museum's",0.08
"paintings",0.08
"sep",0.08
"tu-su",0.08
"arts",0.07
"cultural",0.07
"entrance",0.07
"guided",0.07
"museums",0.07
"office",0.07
"opened",0.07
"opening",0.07
"square",0.07
"valuable",0.07
"years",0.07
