"","beers"
"beer",0.18
"selection",0.18
"tap",0.18
"bar",0.14
"brewed",0.14
"brewery",0.14
"brewing",0.14
"imported",0.14
"pub",0.14
"brews",0.13
"food",0.12
"menu",0.12
"bars",0.11
"draft",0.11
"live",0.11
"music",0.11
"specials",0.11
"belgian",0.1
"bottled",0.1
"downtown",0.1
"drinks",0.1
"happy",0.1
"selections",0.1
"student",0.1
"always",0.09
"cheap",0.09
"craft",0.09
"friendly",0.09
"good",0.09
"great",0.09
"restaurant",0.09
"serves",0.09
"students",0.09
"style",0.09
"variety",0.09
"atmosphere",0.08
"bottle",0.08
"brew",0.08
"burgers",0.08
"classic",0.08
"cocktail",0.08
"dance",0.08
"dining",0.08
"dishes",0.08
"eclectic",0.08
"excellent",0.08
"expect",0.08
"features",0.08
"lunch",0.08
"night",0.08
"nights",0.08
"saturday",0.08
"spirits",0.08
"street",0.08
"university",0.08
"vegan",0.08
"wide",0.08
"wine",0.08
"wines",0.08
"ale",0.07
"american",0.07
"authentic",0.07
"avenue",0.07
"bohemian",0.07
"cafe",0.07
"crowd",0.07
"drink",0.07
"expensive",0.07
"featuring",0.07
"find",0.07
"fine",0.07
"free",0.07
"fries",0.07
"irish",0.07
"locals",0.07
"often",0.07
"pancakes",0.07
"pint",0.07
"relaxed",0.07
"seating",0.07
"staff",0.07
"stores",0.07
"try",0.07
"usually",0.07
"vegetarian",0.07
