"","powder"
"terrain",0.17
"beginner",0.13
"lift",0.12
"ski",0.1
"chair",0.09
"snow",0.09
"seasoned",0.08
"skiing",0.08
"slopes",0.08
"ut",0.08
"boasting",0.07
"non-profit",0.07
