"","closed"
"mondays",0.18
"open",0.17
"monday",0.16
"sunday",0.14
"tuesday",0.14
"saturday",0.13
"su",0.13
"museum",0.12
"sundays",0.12
"free",0.11
"holidays",0.11
"late",0.11
"m-f",0.11
"wednesday",0.11
"admission",0.1
"building",0.1
"children",0.1
"friday",0.1
"lunch",0.1
"restaurant",0.1
"students",0.1
"art",0.09
"collection",0.09
"dinner",0.09
"menu",0.09
"now",0.09
"office",0.09
"opened",0.09
"reopened",0.09
"sa",0.09
"sa-su",0.09
"sat",0.09
"student",0.09
"thursday",0.09
"tuesdays",0.09
"daily",0.08
"december",0.08
"exhibits",0.08
"floor",0.08
"gallery",0.08
"indoor",0.08
"m-sa",0.08
"november",0.08
"oct",0.08
"parking",0.08
"piazza",0.08
"sep",0.08
"ticket",0.08
"works",0.08
"april",0.07
"branch",0.07
"cafe",0.07
"christmas",0.07
"closing",0.07
"day",0.07
"dec",0.07
"except",0.07
"first",0.07
"former",0.07
"italian",0.07
"live",0.07
"opening",0.07
"original",0.07
"renovation",0.07
"restored",0.07
"saturdays",0.07
"shop",0.07
"special",0.07
"street",0.07
"sun",0.07
"th",0.07
"weekdays",0.07
