"","port"
"ferry",0.21
"ferries",0.2
"sea",0.18
"island",0.15
"coast",0.14
"ships",0.14
"beach",0.12
"ports",0.12
"boat",0.11
"boats",0.11
"cruise",0.11
"fishing",0.11
"bay",0.1
"beaches",0.1
"coastal",0.1
"islands",0.1
"marina",0.1
"peninsula",0.1
"ship",0.1
"shipping",0.1
"harbour",0.09
"mainland",0.09
"cargo",0.08
"coastline",0.08
"diving",0.08
"fish",0.08
"greek",0.08
"gulf",0.08
"navy",0.08
"seafood",0.08
"vessels",0.08
"export",0.07
"marine",0.07
"operate",0.07
"pier",0.07
"sandy",0.07
"seaport",0.07
