"","united"
"states",0.41
"american",0.19
"us",0.15
"state",0.14
"york",0.14
"amtrak",0.13
"crime",0.13
"downtown",0.13
"home",0.13
"interstate",0.13
"laws",0.13
"citizens",0.12
"county",0.12
"historic",0.12
"law",0.12
"league",0.12
"nations",0.12
"airlines",0.11
"americans",0.11
"areas",0.11
"greyhound",0.11
"register",0.11
"service",0.11
"transit",0.11
"america's",0.1
"baseball",0.1
"diverse",0.1
"generally",0.1
"largest",0.1
"major",0.1
"miles",0.1
"national",0.1
"new",0.1
"president",0.1
"ranked",0.1
"throughout",0.1
"university",0.1
"accepted",0.09
"airport'''",0.09
"america",0.09
"arts",0.09
"ave",0.09
"california",0.09
"canada",0.09
"college",0.09
"common",0.09
"convention",0.09
"delta",0.09
"dollar",0.09
"driving",0.09
"east",0.09
"illegal",0.09
"include",0.09
"legal",0.09
"locations",0.09
"military",0.09
"native",0.09
"occur",0.09
"recreation",0.09
"residents",0.09
"served",0.09
"state's",0.09
"system",0.09
"upscale",0.09
"violent",0.09
"washington",0.09
"acres",0.08
"authority",0.08
"avenue",0.08
"business",0.08
"campus",0.08
"canadian",0.08
"cards",0.08
"carriers",0.08
"chicago",0.08
"counties",0.08
"countries",0.08
"customs",0.08
"features",0.08
"first",0.08
"florida",0.08
"highways",0.08
"includes",0.08
"inn",0.08
"live",0.08
"marriott",0.08
"mexican",0.08
"neighbor",0.08
"outdoor",0.08
"pacific",0.08
"passport",0.08
"passports",0.08
"recent",0.08
"regional",0.08
"require",0.08
"union",0.08
"urban",0.08
"visa",0.08
"war",0.08
"west",0.08
"agreement",0.07
"air",0.07
"always",0.07
"area",0.07
"basketball",0.07
"became",0.07
"broadway",0.07
"center",0.07
"civilian",0.07
"columbus",0.07
"commercial",0.07
"community",0.07
"dollars",0.07
"george",0.07
"john",0.07
"keep",0.07
"m-sa",0.07
"mexico",0.07
"nation",0.07
"nation's",0.07
"nearly",0.07
"north",0.07
"often",0.07
"performing",0.07
"public",0.07
"regions",0.07
"routes",0.07
"st",0.07
"stores",0.07
"street",0.07
"tend",0.07
"traveling",0.07
