"","else"
"anywhere",0.24
"nowhere",0.14
"anything",0.13
"everywhere",0.12
"make",0.1
"somewhere",0.1
"cheaper",0.09
"even",0.09
"everything",0.09
"might",0.09
"much",0.09
"someone",0.09
"try",0.09
"whatever",0.09
"will",0.09
"'ll",0.08
"ask",0.08
"avoid",0.08
"better",0.08
"bit",0.08
"expensive",0.08
"find",0.08
"get",0.08
"know",0.08
"like",0.08
"little",0.08
"money",0.08
"need",0.08
"prices",0.08
"really",0.08
"sure",0.08
"tend",0.08
"think",0.08
"unless",0.08
"usually",0.08
"want",0.08
"'re",0.07
"almost",0.07
"always",0.07
"anyone",0.07
"generally",0.07
"go",0.07
"going",0.07
"look",0.07
"never",0.07
"often",0.07
"pay",0.07
"sell",0.07
