"","safer"
"dangerous",0.13
"conflict",0.12
"security",0.11
"sim",0.11
"embassy",0.1
"foreigners",0.1
"violent",0.1
"avoid",0.09
"card",0.09
"even",0.09
"expect",0.09
"generally",0.09
"passport",0.09
"police",0.09
"safe",0.09
"tap",0.09
"visas",0.09
"aid",0.08
"careful",0.08
"citizens",0.08
"common",0.08
"countries",0.08
"currency",0.08
"drivers",0.08
"embassies",0.08
"officer",0.08
"pay",0.08
"political",0.08
"probably",0.08
"situation",0.08
"taxis",0.08
"violence",0.08
"agreed",0.07
"ask",0.07
"beware",0.07
"dual",0.07
"extremely",0.07
"government",0.07
"money",0.07
"much",0.07
"often",0.07
"people",0.07
"risk",0.07
"third",0.07
"visa",0.07
