"","chain"
"shopping",0.18
"stores",0.15
"mall",0.13
"downtown",0.12
"store",0.12
"food",0.11
"burger",0.1
"chains",0.1
"restaurant",0.1
"retail",0.1
"selection",0.1
"ave",0.09
"boulevard",0.09
"branch",0.09
"business",0.09
"coffee",0.09
"fast",0.09
"inn",0.09
"italian",0.09
"large",0.09
"locations",0.09
"malls",0.09
"movie",0.09
"pizza",0.09
"retailers",0.09
"serves",0.09
"street",0.09
"variety",0.09
"american",0.08
"bar",0.08
"bars",0.08
"city's",0.08
"crowd",0.08
"dining",0.08
"events",0.08
"fast-food",0.08
"features",0.08
"featuring",0.08
"generally",0.08
"include",0.08
"including",0.08
"live",0.08
"menu",0.08
"mexican",0.08
"music",0.08
"pub",0.08
"serve",0.08
"serving",0.08
"sushi",0.08
"university",0.08
"upscale",0.08
"usual",0.08
"addition",0.07
"areas",0.07
"asian",0.07
"blvd",0.07
"branches",0.07
"building",0.07
"bulk",0.07
"businesses",0.07
"cinema",0.07
"deli",0.07
"found",0.07
"free",0.07
"fun",0.07
"greater",0.07
"grill",0.07
"indoor",0.07
"metro",0.07
"offers",0.07
"plays",0.07
"range",0.07
"st",0.07
"system",0.07
"theatre",0.07
"throughout",0.07
