"","lake"
"lakes",0.21
"lakeside",0.2
"lake'''",0.19
"shore",0.19
"'''lake",0.18
"shores",0.17
"boating",0.13
"freshwater",0.1
"mountain",0.1
"recreation",0.1
"campground",0.09
"hiking",0.09
"north",0.09
"shoreline",0.09
"state",0.09
"trout",0.09
"water",0.09
"winter",0.09
"alpine",0.08
"cabins",0.08
"county",0.08
"creek",0.08
"dam",0.08
"fishing",0.08
"hwy",0.08
"ice",0.08
"national",0.08
"park",0.08
"scenic",0.08
"superior",0.08
"trails",0.08
"boat",0.07
"canoe",0.07
"highway",0.07
"motel",0.07
"outdoor",0.07
"picnic",0.07
"trail",0.07
