"","sports"
"bar",0.17
"indoor",0.14
"outdoor",0.14
"games",0.13
"grill",0.13
"stadium",0.13
"teams",0.13
"football",0.12
"hockey",0.12
"shopping",0.12
"tennis",0.12
"activities",0.11
"arena",0.11
"basketball",0.11
"club",0.11
"events",0.11
"live",0.11
"mall",0.11
"restaurant",0.11
"variety",0.11
"athletic",0.1
"dining",0.1
"features",0.1
"free",0.1
"fun",0.1
"ice",0.1
"league",0.1
"music",0.1
"offers",0.1
"pizza",0.1
"play",0.1
"skating",0.1
"sport",0.1
"sporting",0.1
"winter",0.1
"american",0.09
"ave",0.09
"bowling",0.09
"center",0.09
"course",0.09
"downtown",0.09
"golf",0.09
"great",0.09
"lounge",0.09
"park",0.09
"pool",0.09
"popular",0.09
"pub",0.09
"screen",0.09
"selection",0.09
"skiing",0.09
"soccer",0.09
"stores",0.09
"street",0.09
"university",0.09
"avenue",0.08
"bands",0.08
"bars",0.08
"baseball",0.08
"blvd",0.08
"campus",0.08
"clubs",0.08
"equipment",0.08
"family",0.08
"fitness",0.08
"food",0.08
"grille",0.08
"italian",0.08
"kids",0.08
"menu",0.08
"movie",0.08
"night",0.08
"open",0.08
"pro",0.08
"school",0.08
"ski",0.08
"suites",0.08
"team",0.08
"atmosphere",0.07
"burger",0.07
"children's",0.07
"college",0.07
"concerts",0.07
"dance",0.07
"event",0.07
"facilities",0.07
"featuring",0.07
"friday",0.07
"hosts",0.07
"include",0.07
"inn",0.07
"nights",0.07
"offer",0.07
"phone",0.07
"playing",0.07
"public",0.07
"science",0.07
"skate",0.07
"st",0.07
"water",0.07
