"","lift"
"lifts",0.33
"ski",0.3
"skiing",0.2
"chair",0.19
"snow",0.16
"slopes",0.15
"equipment",0.12
"les",0.12
"powder",0.12
"beginner",0.11
"beginners",0.11
"chalets",0.11
"vertical",0.11
"winter",0.11
"mountain",0.1
"terrain",0.1
"alpine",0.09
"downhill",0.09
"resort",0.08
"resorts",0.08
"specialist",0.08
