"","items"
"menu",0.12
"shop",0.12
"food",0.11
"jewelry",0.11
"purchase",0.11
"variety",0.11
"item",0.1
"made",0.1
"prices",0.1
"selection",0.1
"sell",0.1
"buy",0.09
"clothing",0.09
"dining",0.09
"gift",0.09
"imported",0.09
"reasonable",0.09
"shops",0.09
"store",0.09
"well",0.09
"always",0.08
"american",0.08
"available",0.08
"chicken",0.08
"dishes",0.08
"fresh",0.08
"generally",0.08
"goods",0.08
"handmade",0.08
"like",0.08
"looking",0.08
"lunch",0.08
"market",0.08
"personal",0.08
"place",0.08
"products",0.08
"selling",0.08
"stores",0.08
"unique",0.08
"usually",0.08
"vendors",0.08
"books",0.07
"cards",0.07
"carry",0.07
"casual",0.07
"currency",0.07
"features",0.07
"furniture",0.07
"license",0.07
"locals",0.07
"meal",0.07
"money",0.07
"offer",0.07
"offers",0.07
"order",0.07
"quality",0.07
"sale",0.07
"sandwiches",0.07
"serves",0.07
"sold",0.07
"specialty",0.07
"staff",0.07
"stand",0.07
"sure",0.07
"will",0.07
"women",0.07
