"","massage"
"spa",0.16
"equipped",0.14
"relaxation",0.14
"body",0.13
"yoga",0.13
"air-con",0.12
"bath",0.12
"thai",0.12
"toilet",0.12
"baht",0.11
"hair",0.11
"salon",0.11
"bangkok",0.1
"exterior",0.1
"hot",0.1
"internet",0.1
"pool",0.1
"room",0.1
"rooms",0.1
"table",0.1
"thailand",0.1
"wi-fi",0.1
"cable",0.09
"classes",0.09
"coffee",0.09
"facilities",0.09
"lcd",0.09
"malaysian",0.09
"nordic",0.09
"private",0.09
"resort",0.09
"rooftop",0.09
"swimming",0.09
"treatment",0.09
"budget",0.08
"cap",0.08
"deluxe",0.08
"fan",0.08
"free",0.08
"girls",0.08
"health",0.08
"herbal",0.08
"hr",0.08
"laundry",0.08
"lobby",0.08
"mineral",0.08
"rates",0.08
"reputed",0.08
"sauna",0.08
"shower",0.08
"vip",0.08
"-house",0.07
"class",0.07
"discounted",0.07
"karaoke",0.07
"meditation",0.07
"pools",0.07
"price",0.07
"staff",0.07
"start",0.07
"tropical",0.07
