"","ship"
"cruise",0.28
"ships",0.23
"pirate",0.16
"breaking",0.14
"crew",0.13
"harbour",0.12
"islands",0.12
"caribbean",0.11
"maritime",0.11
"sail",0.11
"island",0.1
"port",0.1
"yacht",0.1
"replica",0.09
"vessels",0.09
"cargo",0.08
"ferry",0.08
"dock",0.07
"marine",0.07
"passengers",0.07
"viking",0.07
