"","delicious"
"food",0.19
"fresh",0.15
"menu",0.15
"friendly",0.14
"restaurant",0.14
"authentic",0.13
"dishes",0.13
"great",0.13
"try",0.13
"variety",0.13
"bar",0.12
"lunch",0.12
"place",0.12
"best",0.11
"chicken",0.11
"enjoy",0.11
"homemade",0.11
"serves",0.11
"sushi",0.11
"tasty",0.11
"vegetarian",0.11
"amazing",0.1
"atmosphere",0.1
"breakfast",0.1
"coffee",0.1
"cream",0.1
"cuisine",0.1
"dining",0.1
"drinks",0.1
"excellent",0.1
"favorite",0.1
"fried",0.1
"good",0.1
"ice",0.1
"like",0.1
"meal",0.1
"pizza",0.1
"prices",0.1
"sandwiches",0.1
"selection",0.1
"serve",0.1
"sit",0.1
"staff",0.1
"always",0.09
"baked",0.09
"cheap",0.09
"dinner",0.09
"drink",0.09
"eat",0.09
"find",0.09
"full",0.09
"fun",0.09
"hot",0.09
"italian",0.09
"live",0.09
"music",0.09
"nice",0.09
"night",0.09
"offer",0.09
"offers",0.09
"reasonable",0.09
"salsa",0.09
"sure",0.09
"wonderful",0.09
"affordable",0.08
"ask",0.08
"bars",0.08
"beautiful",0.08
"beef",0.08
"cafe",0.08
"cakes",0.08
"chef",0.08
"cocktails",0.08
"customers",0.08
"desserts",0.08
"different",0.08
"elegant",0.08
"every",0.08
"family",0.08
"featuring",0.08
"flavors",0.08
"free",0.08
"freshly",0.08
"fruit",0.08
"gourmet",0.08
"grilled",0.08
"happy",0.08
"juice",0.08
"local",0.08
"made",0.08
"make",0.08
"meat",0.08
"offering",0.08
"pasta",0.08
"patio",0.08
"perfect",0.08
"pizzas",0.08
"plaza",0.08
"right",0.08
"room",0.08
"seafood",0.08
"shop",0.08
"specials",0.08
"sweet",0.08
"taste",0.08
"wide",0.08
"also",0.07
"ambiance",0.07
"awesome",0.07
"beer",0.07
"big",0.07
"casual",0.07
"clothing",0.07
"cozy",0.07
"dish",0.07
"especially",0.07
"experience",0.07
"floor",0.07
"fries",0.07
"garden",0.07
"go",0.07
"handmade",0.07
"home-made",0.07
"locals",0.07
"looking",0.07
"owner",0.07
"pastries",0.07
"price",0.07
"quality",0.07
"quick",0.07
"salads",0.07
"special",0.07
"sweets",0.07
"want",0.07
"well",0.07
