"","picnic"
"playground",0.19
"horseshoe",0.18
"park",0.17
"primitive",0.16
"tables",0.16
"acre",0.14
"volleyball",0.14
"acres",0.13
"basketball",0.13
"concession",0.11
"campground",0.1
"park'''",0.1
"rd",0.1
"state",0.1
"tennis",0.1
"trails",0.1
"campsites",0.09
"dining",0.09
"gift",0.09
"golf",0.09
"launch",0.09
"mile",0.09
"miles",0.09
"open",0.09
"phone",0.09
"shelter",0.09
"spot",0.09
"trail",0.09
"winery",0.09
"ave",0.08
"baseball",0.08
"creek",0.08
"features",0.08
"indoor",0.08
"inn",0.08
"outdoor",0.08
"pet",0.08
"pond",0.08
"facility",0.07
"family",0.07
"fishing",0.07
"hiking",0.07
"lake",0.07
"lunch",0.07
"memorial",0.07
"miniature",0.07
"ohio",0.07
"ramp",0.07
"recreation",0.07
"store",0.07
