"","plane"
"flights",0.14
"airport",0.13
"flight",0.1
"air",0.09
"sea",0.09
"airline",0.08
"car",0.08
"float",0.08
"fly",0.08
"islands",0.08
"airports",0.07
"cargo",0.07
"worldwide",0.07
