"","mausoleum"
"sultan",0.19
"tomb",0.18
"ali",0.16
"persian",0.16
"dome",0.14
"mosque",0.13
"bazaar",0.12
"conquered",0.12
"khan",0.12
"turquoise",0.12
"dates",0.09
"gates",0.09
"reign",0.09
"built",0.08
"creation",0.08
"erected",0.08
"father",0.08
"grave",0.08
"islamic",0.08
"ordered",0.08
"rulers",0.08
"ancient",0.07
"complex",0.07
"decoration",0.07
"died",0.07
"historical",0.07
"mary",0.07
"monuments",0.07
