"","pilgrims"
"holy",0.17
"pilgrimage",0.16
"temple",0.14
"believed",0.13
"hindu",0.13
"lord",0.12
"religious",0.12
"sacred",0.12
"prayer",0.11
"dip",0.1
"god",0.1
"mother",0.1
"shiva",0.09
"spiritual",0.09
"worship",0.09
"buddhist",0.08
"delhi",0.08
"india",0.08
"manager",0.08
"muslims",0.08
"shrine",0.08
"thousands",0.08
"visited",0.08
"said",0.07
"temples",0.07
