"","lots"
"good",0.13
"nice",0.13
"parking",0.12
"cheap",0.11
"always",0.1
"find",0.1
"food",0.1
"get",0.1
"like",0.1
"lot",0.1
"shops",0.1
"try",0.1
"want",0.1
"'s",0.09
"bars",0.09
"expensive",0.09
"great",0.09
"places",0.09
"prices",0.09
"really",0.09
"sure",0.09
"usually",0.09
"'re",0.08
"avoid",0.08
"beer",0.08
"big",0.08
"bit",0.08
"buy",0.08
"check",0.08
"even",0.08
"everything",0.08
"free",0.08
"friendly",0.08
"fun",0.08
"go",0.08
"little",0.08
"live",0.08
"make",0.08
"next",0.08
"night",0.08
"offer",0.08
"place",0.08
"quite",0.08
"selection",0.08
"sell",0.08
"will",0.08
"cheaper",0.07
"coffee",0.07
"drink",0.07
"every",0.07
"give",0.07
"huge",0.07
"look",0.07
"modern",0.07
"music",0.07
"people",0.07
"price",0.07
"quality",0.07
"reasonable",0.07
"see",0.07
"sometimes",0.07
"things",0.07
