"","su"
"sa",0.58
"f-sa",0.45
"m-sa",0.34
"th",0.26
"m-f",0.25
"sa-su",0.25
"m-th",0.24
"tu-sa",0.21
"st",0.2
"ave",0.17
"library",0.16
"rd",0.16
"dr",0.15
"free",0.14
"children",0.13
"closed",0.13
"exhibits",0.13
"indoor",0.13
"museum",0.13
"blvd",0.12
"inn",0.12
"menu",0.12
"restaurant",0.12
"tu",0.12
"art",0.11
"arts",0.11
"center",0.11
"fitness",0.11
"holidays",0.11
"seniors",0.11
"tu-su",0.11
"american",0.1
"downtown",0.1
"grill",0.1
"suites",0.1
"anchored",0.09
"building",0.09
"campus",0.09
"college",0.09
"corner",0.09
"historic",0.09
"house",0.09
"live",0.09
"lunch",0.09
"mall",0.09
"marriott",0.09
"mexican",0.09
"music",0.09
"oct",0.09
"rotating",0.09
"theater",0.09
"theatre",0.09
"university",0.09
"upscale",0.09
"admission",0.08
"bar",0.08
"branch",0.08
"collection",0.08
"diner",0.08
"dinner",0.08
"draft",0.08
"exit",0.08
"features",0.08
"featuring",0.08
"gallery",0.08
"gift",0.08
"housed",0.08
"interstate",0.08
"ln",0.08
"outdoor",0.08
"phone",0.08
"pizza",0.08
"rapids",0.08
"sandwiches",0.08
"seating",0.08
"sep",0.08
"store",0.08
"street",0.08
"students",0.08
"tavern",0.08
"wireless",0.08
"york",0.08
"aug",0.07
"avenue",0.07
"breakfast",0.07
"brunch",0.07
"cafe",0.07
"concerts",0.07
"dec",0.07
"history",0.07
"italian",0.07
"park",0.07
"serves",0.07
"shopping",0.07
"suburban",0.07
"vegan",0.07
