"","drink"
"eat",0.25
"buy",0.2
"sleep",0.16
"get",0.15
"bars",0.14
"beer",0.14
"bottled",0.14
"drinks",0.14
"food",0.14
"understand",0.14
"alcohol",0.13
"always",0.13
"expensive",0.13
"find",0.13
"go",0.13
"night",0.13
"try",0.13
"usually",0.13
"alcoholic",0.12
"avoid",0.12
"cheap",0.12
"drinking",0.12
"like",0.12
"locals",0.12
"made",0.12
"next",0.12
"people",0.12
"prices",0.12
"safe",0.12
"see",0.12
"sure",0.12
"want",0.12
"ask",0.11
"cheaper",0.11
"especially",0.11
"expect",0.11
"generally",0.11
"good",0.11
"make",0.11
"places",0.11
"police",0.11
"price",0.11
"tap",0.11
"will",0.11
"'s",0.1
"around",0.1
"bar",0.1
"best",0.1
"bottle",0.1
"drivers",0.1
"even",0.1
"extremely",0.1
"foreigners",0.1
"friendly",0.1
"great",0.1
"know",0.1
"local",0.1
"lot",0.1
"may",0.1
"meal",0.1
"might",0.1
"money",0.1
"often",0.1
"pay",0.1
"place",0.1
"sell",0.1
"something",0.1
"staff",0.1
"sweet",0.1
"taste",0.1
"things",0.1
"without",0.1
"'re",0.09
"almost",0.09
"better",0.09
"bottles",0.09
"budget",0.09
"can",0.09
"card",0.09
"cheapest",0.09
"check",0.09
"chicken",0.09
"common",0.09
"cost",0.09
"countries",0.09
"currency",0.09
"delicious",0.09
"different",0.09
"dishes",0.09
"drunk",0.09
"every",0.09
"exchange",0.09
"feel",0.09
"fresh",0.09
"hotels",0.09
"keep",0.09
"least",0.09
"meat",0.09
"meet",0.09
"much",0.09
"music",0.09
"never",0.09
"nice",0.09
"offer",0.09
"outside",0.09
"popular",0.09
"purchase",0.09
"quite",0.09
"selection",0.09
"sit",0.09
"soft",0.09
"sold",0.09
"sometimes",0.09
"stay",0.09
"talk",0.09
"tastes",0.09
"tend",0.09
"use",0.09
"watch",0.09
"water",0.09
"widely",0.09
"women",0.09
"young",0.09
"able",0.08
"accept",0.08
"although",0.08
"another",0.08
"available",0.08
"back",0.08
"big",0.08
"bit",0.08
"bring",0.08
"called",0.08
"cards",0.08
"choose",0.08
"coconut",0.08
"coffee",0.08
"come",0.08
"costs",0.08
"crowd",0.08
"customers",0.08
"dance",0.08
"definitely",0.08
"dish",0.08
"dress",0.08
"english",0.08
"enjoy",0.08
"european",0.08
"foreign",0.08
"fried",0.08
"fruit",0.08
"give",0.08
"hard",0.08
"help",0.08
"imported",0.08
"just",0.08
"kind",0.08
"legal",0.08
"lemon",0.08
"little",0.08
"live",0.08
"look",0.08
"looking",0.08
"making",0.08
"menu",0.08
"mixed",0.08
"must",0.08
"nights",0.08
"number",0.08
"ones",0.08
"order",0.08
"passport",0.08
"plenty",0.08
"prepared",0.08
"problem",0.08
"quality",0.08
"rather",0.08
"really",0.08
"refreshing",0.08
"remember",0.08
"sim",0.08
"similar",0.08
"someone",0.08
"specials",0.08
"streets",0.08
"ticket",0.08
"time",0.08
"tourists",0.08
"typical",0.08
"vendors",0.08
"visa",0.08
"visit",0.08
"well",0.08
"worth",0.08
"acceptable",0.07
"asking",0.07
"atmosphere",0.07
"aware",0.07
"beers",0.07
"cafes",0.07
"charge",0.07
"choice",0.07
"citizens",0.07
"clean",0.07
"clothes",0.07
"cocktail",0.07
"cocktails",0.07
"companies",0.07
"consumed",0.07
"depending",0.07
"driver",0.07
"evening",0.07
"found",0.07
"front",0.07
"full",0.07
"hand",0.07
"happy",0.07
"higher",0.07
"highly",0.07
"juice",0.07
"language",0.07
"laws",0.07
"leave",0.07
"less",0.07
"long",0.07
"lots",0.07
"many",0.07
"meals",0.07
"milk",0.07
"mind",0.07
"need",0.07
"option",0.07
"others",0.07
"party",0.07
"paying",0.07
"prepaid",0.07
"rate",0.07
"real",0.07
"say",0.07
"serve",0.07
"sour",0.07
"speak",0.07
"special",0.07
"start",0.07
"students",0.07
"tell",0.07
"thai",0.07
"using",0.07
"variety",0.07
"wait",0.07
"wear",0.07
