"","customers"
"menu",0.12
"customer",0.1
"staff",0.1
"bars",0.09
"drinks",0.09
"prices",0.09
"success",0.09
"always",0.08
"atmosphere",0.08
"bar",0.08
"delicious",0.08
"dine",0.08
"dishes",0.08
"drink",0.08
"especially",0.08
"food",0.08
"great",0.08
"lobby",0.08
"offer",0.08
"tables",0.08
"variety",0.08
"cheaper",0.07
"coffee",0.07
"draws",0.07
"expensive",0.07
"floor",0.07
"free",0.07
"friendly",0.07
"like",0.07
"looking",0.07
"pay",0.07
"price",0.07
"quality",0.07
"restaurant",0.07
"seating",0.07
"selection",0.07
"sell",0.07
"serves",0.07
"shop",0.07
"smoking",0.07
"starbucks",0.07
"store",0.07
"students",0.07
