"","soviet"
"russian",0.37
"russia",0.23
"moscow",0.2
"orthodox",0.16
"former",0.13
"drama",0.11
"language",0.11
"monastery",0.11
"union",0.11
"vodka",0.11
"jewish",0.1
"military",0.1
"monument",0.1
"region's",0.1
"war",0.1
"checked",0.09
"era",0.09
"european",0.09
"fortress",0.09
"georgian",0.09
"official",0.09
"republic",0.09
"sim",0.09
"alexander",0.08
"communist",0.08
"complex",0.08
"countries",0.08
"europe",0.08
"foreign",0.08
"monuments",0.08
"polish",0.08
"political",0.08
"speak",0.08
"visa",0.08
"widespread",0.08
"agreement",0.07
"became",0.07
"border",0.07
"capital",0.07
"church",0.07
"citizens",0.07
"foreigners",0.07
"speaking",0.07
