"","spacious"
"rooms",0.17
"swimming",0.14
"equipped",0.13
"free",0.12
"hotel",0.12
"pool",0.12
"room",0.12
"friendly",0.11
"private",0.11
"amenities",0.1
"apartments",0.1
"balcony",0.1
"bedrooms",0.1
"clean",0.1
"internet",0.1
"kitchen",0.1
"luxury",0.1
"quiet",0.1
"suite",0.1
"bar",0.09
"bathroom",0.09
"breakfast",0.09
"facilities",0.09
"fully",0.09
"guests",0.09
"offers",0.09
"restaurant",0.09
"suites",0.09
"tv",0.09
"wireless",0.09
"bathrooms",0.08
"boutique",0.08
"deluxe",0.08
"dining",0.08
"dvd",0.08
"elegant",0.08
"full",0.08
"furnished",0.08
"guest",0.08
"guesthouse",0.08
"lounge",0.08
"luxurious",0.08
"modern",0.08
"offer",0.08
"offering",0.08
"outdoor",0.08
"staff",0.08
"terrace",0.08
"view",0.08
"balconies",0.07
"double",0.07
"en-suite",0.07
"floor",0.07
"prices",0.07
"right",0.07
"shower",0.07
"wifi",0.07
