"","fried"
"chicken",0.29
"rice",0.2
"boiled",0.18
"spicy",0.18
"eaten",0.17
"grilled",0.17
"pork",0.17
"dish",0.16
"dishes",0.15
"noodles",0.15
"sauce",0.15
"soup",0.15
"fish",0.14
"food",0.13
"meat",0.13
"shrimp",0.13
"beef",0.12
"coconut",0.12
"cooked",0.12
"egg",0.12
"noodle",0.12
"try",0.12
"beans",0.11
"curry",0.11
"dried",0.11
"mixed",0.11
"salad",0.11
"seafood",0.11
"steamed",0.11
"stuffed",0.11
"sweet",0.11
"tasty",0.11
"delicious",0.1
"eat",0.1
"flour",0.1
"fresh",0.1
"jalan",0.1
"made",0.1
"menu",0.1
"potato",0.1
"slices",0.1
"sour",0.1
"topped",0.1
"vegetables",0.1
"balls",0.09
"banana",0.09
"fruit",0.09
"garlic",0.09
"indonesian",0.09
"like",0.09
"milk",0.09
"potatoes",0.09
"prepared",0.09
"roasted",0.09
"seasoned",0.09
"sell",0.09
"served",0.09
"stall",0.09
"vendors",0.09
"added",0.08
"always",0.08
"baked",0.08
"bean",0.08
"bread",0.08
"cheap",0.08
"chili",0.08
"chinese",0.08
"common",0.08
"drink",0.08
"even",0.08
"favorite",0.08
"favorites",0.08
"fermented",0.08
"hot",0.08
"indonesia",0.08
"raw",0.08
"sausage",0.08
"similar",0.08
"singapore",0.08
"slice",0.08
"stalls",0.08
"tomato",0.08
"typically",0.08
"usually",0.08
"vegetable",0.08
"want",0.08
"add",0.07
"ask",0.07
"best",0.07
"cost",0.07
"dough",0.07
"drivers",0.07
"dry",0.07
"especially",0.07
"find",0.07
"fries",0.07
"generally",0.07
"karaoke",0.07
"kind",0.07
"make",0.07
"night",0.07
"often",0.07
"popular",0.07
"prices",0.07
"selection",0.07
"serve",0.07
"soft",0.07
"sometimes",0.07
"taste",0.07
"tender",0.07
"varieties",0.07
"variety",0.07
"version",0.07
