"","theater"
"movie",0.28
"downtown",0.17
"center",0.15
"theaters",0.15
"theatre",0.14
"ave",0.13
"drama",0.13
"art",0.12
"arts",0.12
"concerts",0.12
"movies",0.12
"plays",0.12
"shopping",0.12
"shows",0.12
"arena",0.11
"avenue",0.11
"music",0.11
"musical",0.11
"performing",0.11
"st",0.11
"university",0.11
"american",0.1
"campus",0.1
"concert",0.1
"features",0.1
"featuring",0.1
"film",0.1
"inn",0.1
"mall",0.1
"municipal",0.1
"science",0.1
"street",0.1
"city's",0.09
"classic",0.09
"collection",0.09
"college",0.09
"films",0.09
"free",0.09
"historic",0.09
"hosts",0.09
"league",0.09
"live",0.09
"museum",0.09
"opera",0.09
"park",0.09
"su",0.09
"symphony",0.09
"upscale",0.09
"amtrak",0.08
"baseball",0.08
"basketball",0.08
"blvd",0.08
"convention",0.08
"dance",0.08
"events",0.08
"festival",0.08
"history",0.08
"house",0.08
"orchestra",0.08
"outdoor",0.08
"sa",0.08
"square",0.08
"stadium",0.08
"stage",0.08
"suites",0.08
"boutique",0.07
"building",0.07
"deco",0.07
"designed",0.07
"dinner",0.07
"event",0.07
"exhibits",0.07
"f-sa",0.07
"games",0.07
"grill",0.07
"indoor",0.07
"marriott",0.07
"offers",0.07
"pizza",0.07
"plaza",0.07
"specials",0.07
"sushi",0.07
"thursday",0.07
"unique",0.07
"venue",0.07
"venues",0.07
