"","watch"
"sit",0.14
"fresh",0.1
"go",0.1
"look",0.1
"see",0.1
"try",0.1
"'re",0.09
"bar",0.09
"can",0.09
"drink",0.09
"enjoy",0.09
"find",0.09
"great",0.09
"make",0.09
"might",0.09
"night",0.09
"place",0.09
"prices",0.09
"right",0.09
"sure",0.09
"watching",0.09
"will",0.09
"always",0.08
"ask",0.08
"avoid",0.08
"best",0.08
"buy",0.08
"check",0.08
"cocktails",0.08
"dance",0.08
"dolphins",0.08
"drinks",0.08
"fish",0.08
"food",0.08
"get",0.08
"glass",0.08
"keep",0.08
"listen",0.08
"little",0.08
"live",0.08
"locals",0.08
"lunch",0.08
"money",0.08
"music",0.08
"nice",0.08
"offer",0.08
"pick",0.08
"play",0.08
"ride",0.08
"selection",0.08
"shop",0.08
"shops",0.08
"show",0.08
"sometimes",0.08
"spot",0.08
"sunset",0.08
"usually",0.08
"views",0.08
"walk",0.08
"without",0.08
"'s",0.07
"across",0.07
"bars",0.07
"bit",0.07
"bring",0.07
"careful",0.07
"cheap",0.07
"come",0.07
"common",0.07
"crowd",0.07
"day",0.07
"drivers",0.07
"eat",0.07
"especially",0.07
"even",0.07
"expect",0.07
"expensive",0.07
"friendly",0.07
"front",0.07
"fun",0.07
"games",0.07
"good",0.07
"hard",0.07
"huge",0.07
"learn",0.07
"may",0.07
"menu",0.07
"open",0.07
"pay",0.07
"people",0.07
"price",0.07
"something",0.07
"staff",0.07
"take",0.07
"variety",0.07
"water",0.07
"worth",0.07
