"","al"
"arab",0.26
"arabic",0.2
"lebanese",0.16
"islamic",0.15
"arabian",0.14
"mosque",0.12
"ristorante",0.11
"camel",0.1
"sultan",0.1
"di",0.09
"oasis",0.09
"confirm",0.08
"desert",0.08
"piazza",0.08
"del",0.07
"westerners",0.07
