"","bangkok"
"baht",0.5
"thai",0.4
"thailand",0.4
"ban",0.35
"air-con",0.27
"si",0.23
"reign",0.21
"terminal",0.16
"vip",0.16
"hwy",0.15
"contact",0.14
"king",0.14
"understand",0.14
"buddha",0.13
"motorbike",0.13
"fan",0.12
"floating",0.12
"hat",0.12
"province",0.12
"total",0.12
"motorcycle",0.11
"provinces",0.11
"rd",0.11
"massage",0.1
"passing",0.1
"bus",0.09
"distance",0.09
"lotus",0.09
"sleep",0.09
"wi-fi",0.09
"air",0.08
"bungalows",0.08
"buses",0.08
"depart",0.08
"guesthouse",0.08
"gulf",0.08
"hong",0.08
"kong",0.08
"leaves",0.08
"minibus",0.08
"pa",0.08
"pier",0.08
"rice",0.08
"sing",0.08
"stalls",0.08
"transport",0.08
"turn",0.08
"artefacts",0.07
"bottle",0.07
"left",0.07
"malaysian",0.07
"motorbikes",0.07
"na",0.07
"victory",0.07
