"","filmed"
"scenes",0.23
"comedy",0.13
"dunes",0.13
"luis",0.12
"maria",0.1
"film",0.09
"movie",0.09
"sets",0.09
"eye",0.08
"films",0.08
"series",0.08
"stretch",0.08
"thomas",0.08
"buried",0.07
