"","saturday"
"friday",0.4
"sunday",0.31
"monday",0.29
"thursday",0.23
"tuesday",0.21
"wednesday",0.21
"open",0.18
"live",0.15
"market",0.15
"music",0.15
"nights",0.15
"every",0.14
"bar",0.13
"closed",0.13
"street",0.13
"weekend",0.13
"arts",0.12
"dinner",0.12
"events",0.12
"free",0.12
"held",0.12
"lunch",0.11
"pub",0.11
"restaurant",0.11
"selection",0.11
"art",0.1
"cafe",0.1
"children's",0.1
"club",0.1
"evenings",0.1
"event",0.1
"featuring",0.1
"gallery",0.1
"mornings",0.1
"night",0.1
"parking",0.1
"phone",0.1
"st",0.1
"sundays",0.1
"avenue",0.09
"bands",0.09
"concerts",0.09
"dance",0.09
"downtown",0.09
"food",0.09
"fresh",0.09
"homemade",0.09
"hosts",0.09
"italian",0.09
"menu",0.09
"outdoor",0.09
"parade",0.09
"play",0.09
"saturdays",0.09
"week",0.09
"weekends",0.09
"afternoon",0.08
"artists",0.08
"atmosphere",0.08
"ave",0.08
"beers",0.08
"books",0.08
"breakfast",0.08
"brunch",0.08
"children",0.08
"christmas",0.08
"cinema",0.08
"cocktail",0.08
"coffee",0.08
"crowd",0.08
"days",0.08
"dining",0.08
"family",0.08
"farmers'",0.08
"features",0.08
"festival",0.08
"fridays",0.08
"games",0.08
"gourmet",0.08
"house",0.08
"indoor",0.08
"inn",0.08
"lounge",0.08
"midnight",0.08
"pizza",0.08
"plays",0.08
"public",0.08
"pubs",0.08
"sandwiches",0.08
"serving",0.08
"shopping",0.08
"specials",0.08
"students",0.08
"theatre",0.08
"variety",0.08
"admission",0.07
"adult",0.07
"annual",0.07
"baked",0.07
"beer",0.07
"bistro",0.07
"call",0.07
"collection",0.07
"corner",0.07
"craft",0.07
"evening",0.07
"farmers",0.07
"fine",0.07
"irish",0.07
"late",0.07
"library",0.07
"mall",0.07
"month",0.07
"monthly",0.07
"offers",0.07
"produce",0.07
"serves",0.07
"service",0.07
"show",0.07
"student",0.07
"tuesdays",0.07
"wide",0.07
