"","yellow"
"dynasty",0.13
"cabs",0.12
"chinese",0.12
"congestion",0.12
"cab",0.11
"fares",0.11
"cars",0.1
"driver",0.1
"currency",0.09
"drivers",0.09
"noodles",0.09
"pay",0.09
"almost",0.08
"always",0.08
"ask",0.08
"cards",0.08
"china",0.08
"foreign",0.08
"kennedy",0.08
"look",0.08
"money",0.08
"red",0.08
"taxi",0.08
"taxis",0.08
"accept",0.07
"areas",0.07
"autonomous",0.07
"better",0.07
"charge",0.07
"cheaper",0.07
"cost",0.07
"mandarin",0.07
"offer",0.07
"plate",0.07
"required",0.07
"staying",0.07
"usually",0.07
"visa",0.07
