"","full"
"dining",0.14
"free",0.14
"great",0.13
"offers",0.13
"bar",0.12
"breakfast",0.12
"lunch",0.12
"menu",0.12
"moon",0.12
"always",0.11
"dinner",0.11
"features",0.11
"homemade",0.11
"live",0.11
"night",0.11
"open",0.11
"private",0.11
"restaurant",0.11
"variety",0.11
"atmosphere",0.1
"call",0.1
"check",0.1
"favorite",0.1
"featuring",0.1
"fresh",0.1
"friendly",0.1
"fun",0.1
"music",0.1
"offer",0.1
"outdoor",0.1
"pool",0.1
"prices",0.1
"room",0.1
"selection",0.1
"service",0.1
"available",0.09
"bed",0.09
"beer",0.09
"coffee",0.09
"day",0.09
"days",0.09
"delicious",0.09
"drinks",0.09
"enjoy",0.09
"even",0.09
"fine",0.09
"fitness",0.09
"food",0.09
"including",0.09
"indoor",0.09
"internet",0.09
"kitchen",0.09
"offering",0.09
"pay",0.09
"range",0.09
"specials",0.09
"style",0.09
"suites",0.09
"sure",0.09
"try",0.09
"wireless",0.09
"american",0.08
"ask",0.08
"bars",0.08
"bit",0.08
"casual",0.08
"come",0.08
"course",0.08
"drivers",0.08
"everything",0.08
"excellent",0.08
"expensive",0.08
"experience",0.08
"family",0.08
"feature",0.08
"find",0.08
"front",0.08
"gourmet",0.08
"grill",0.08
"include",0.08
"includes",0.08
"italian",0.08
"looking",0.08
"lounge",0.08
"make",0.08
"often",0.08
"party",0.08
"pick",0.08
"purchase",0.08
"quality",0.08
"ranging",0.08
"rates",0.08
"rental",0.08
"right",0.08
"rooms",0.08
"rv",0.08
"sandwiches",0.08
"season",0.08
"seating",0.08
"shop",0.08
"shops",0.08
"spacious",0.08
"special",0.08
"store",0.08
"students",0.08
"throughout",0.08
"tours",0.08
"unless",0.08
"want",0.08
"well",0.08
"wide",0.08
"will",0.08
"-site",0.07
"'re",0.07
"'s",0.07
"amenities",0.07
"arts",0.07
"baked",0.07
"bedroom",0.07
"best",0.07
"big",0.07
"book",0.07
"cafe",0.07
"charge",0.07
"cheap",0.07
"complete",0.07
"cuisine",0.07
"dance",0.07
"different",0.07
"dishes",0.07
"drink",0.07
"driver",0.07
"event",0.07
"every",0.07
"expect",0.07
"extra",0.07
"feel",0.07
"fully",0.07
"games",0.07
"gear",0.07
"good",0.07
"happy",0.07
"heated",0.07
"just",0.07
"kitchens",0.07
"laundry",0.07
"like",0.07
"may",0.07
"nights",0.07
"parking",0.07
"patio",0.07
"pets",0.07
"prepared",0.07
"serving",0.07
"set",0.07
"staff",0.07
"time",0.07
"usually",0.07
"wait",0.07
"without",0.07
