"","runs"
"service",0.15
"line",0.14
"stops",0.14
"run",0.13
"east-west",0.12
"along",0.11
"north",0.11
"route",0.11
"west",0.11
"express",0.1
"rail",0.1
"running",0.1
"services",0.1
"downtown",0.09
"east",0.09
"interstate",0.09
"parallel",0.09
"routes",0.09
"south",0.09
"via",0.09
"across",0.08
"amtrak",0.08
"bus",0.08
"every",0.08
"jr",0.08
"limited",0.08
"operate",0.08
"public",0.08
"shuttle",0.08
"station",0.08
"stop",0.08
"train",0.08
"trains",0.08
"transit",0.08
"connects",0.07
"japan",0.07
"operates",0.07
"passes",0.07
"provides",0.07
"stations",0.07
"street",0.07
"throughout",0.07
