"","sign"
"left",0.15
"right",0.14
"look",0.13
"turn",0.13
"follow",0.11
"says",0.11
"indicating",0.1
"keep",0.1
"straight",0.1
"will",0.1
"'ll",0.09
"accept",0.09
"ask",0.09
"next",0.09
"past",0.09
"pay",0.09
"saying",0.09
"signs",0.09
"'re",0.08
"'s",0.08
"another",0.08
"clean",0.08
"continue",0.08
"driver",0.08
"front",0.08
"get",0.08
"go",0.08
"hand",0.08
"know",0.08
"make",0.08
"might",0.08
"mind",0.08
"need",0.08
"posted",0.08
"price",0.08
"see",0.08
"side",0.08
"sure",0.08
"ticket",0.08
"without",0.08
"always",0.07
"cards",0.07
"cheaper",0.07
"check",0.07
"drivers",0.07
"english",0.07
"entrance",0.07
"going",0.07
"just",0.07
"outside",0.07
"payment",0.07
"prices",0.07
"say",0.07
"tell",0.07
