"","bronze"
"age",0.23
"statue",0.13
"excavated",0.11
"millennium",0.1
"monument",0.1
"erected",0.09
"century",0.08
"earliest",0.08
"sculpture",0.08
"bc",0.07
"burial",0.07
"discovered",0.07
"figures",0.07
"human",0.07
"site",0.07
"statues",0.07
