"","rebuilt"
"destroyed",0.23
"built",0.15
"century",0.15
"gothic",0.15
"baroque",0.14
"church",0.14
"altar",0.12
"building",0.12
"original",0.12
"tower",0.12
"basilica",0.1
"burned",0.1
"castle",0.1
"demolished",0.1
"exhibition",0.1
"hall",0.1
"hungarian",0.1
"monastery",0.1
"romanesque",0.1
"bell",0.09
"buildings",0.09
"catholic",0.09
"facade",0.09
"later",0.09
"painting",0.09
"roman",0.09
"walls",0.09
"cathedral",0.08
"centuries",0.08
"chapel",0.08
"damaged",0.08
"decoration",0.08
"erected",0.08
"former",0.08
"monument",0.08
"old",0.08
"oldest",0.08
"palace",0.08
"protestant",0.08
"stone",0.08
"trinity",0.08
"war",0.08
"wooden",0.08
"buried",0.07
"collection",0.07
"decorated",0.07
"medieval",0.07
"style",0.07
"synagogue",0.07
"years",0.07
