"","features"
"featuring",0.21
"dining",0.16
"downtown",0.16
"inn",0.15
"outdoor",0.15
"feature",0.14
"indoor",0.14
"art",0.13
"arts",0.13
"avenue",0.13
"free",0.13
"live",0.13
"offers",0.13
"park",0.13
"upscale",0.13
"variety",0.13
"american",0.12
"bar",0.12
"events",0.12
"exhibits",0.12
"fitness",0.12
"include",0.12
"music",0.12
"open",0.12
"street",0.12
"suites",0.12
"admission",0.11
"ave",0.11
"blvd",0.11
"classic",0.11
"college",0.11
"favorite",0.11
"full",0.11
"gift",0.11
"golf",0.11
"gourmet",0.11
"including",0.11
"menu",0.11
"movie",0.11
"original",0.11
"selection",0.11
"amenities",0.1
"artists",0.1
"business",0.1
"casual",0.1
"children's",0.1
"dr",0.1
"featured",0.1
"gallery",0.1
"historic",0.1
"home",0.1
"located",0.1
"lunch",0.1
"mall",0.1
"marriott",0.1
"museum",0.1
"pool",0.1
"specials",0.1
"specialty",0.1
"sports",0.1
"store",0.1
"theater",0.1
"theatre",0.1
"themed",0.1
"unique",0.1
"addition",0.09
"annual",0.09
"antique",0.09
"basketball",0.09
"breakfast",0.09
"center",0.09
"club",0.09
"collection",0.09
"convention",0.09
"course",0.09
"creek",0.09
"cuisine",0.09
"dinner",0.09
"event",0.09
"fine",0.09
"fun",0.09
"great",0.09
"includes",0.09
"lounge",0.09
"miles",0.09
"owned",0.09
"performing",0.09
"phone",0.09
"rd",0.09
"restaurant",0.09
"sandwiches",0.09
"shopping",0.09
"signature",0.09
"st",0.09
"steak",0.09
"tennis",0.09
"university",0.09
"acre",0.08
"acres",0.08
"array",0.08
"artifacts",0.08
"authentic",0.08
"baked",0.08
"beers",0.08
"boulevard",0.08
"campus",0.08
"chain",0.08
"children",0.08
"community",0.08
"complete",0.08
"concert",0.08
"diner",0.08
"display",0.08
"displays",0.08
"drive",0.08
"eclectic",0.08
"extensive",0.08
"facility",0.08
"family",0.08
"festival",0.08
"friday",0.08
"grill",0.08
"guests",0.08
"heated",0.08
"held",0.08
"homemade",0.08
"hosts",0.08
"house",0.08
"interstate",0.08
"italian",0.08
"library",0.08
"locations",0.08
"meeting",0.08
"mexican",0.08
"mile",0.08
"nightly",0.08
"north",0.08
"opened",0.08
"parking",0.08
"parkway",0.08
"patio",0.08
"picnic",0.08
"pizza",0.08
"public",0.08
"retail",0.08
"saturday",0.08
"seniors",0.08
"serves",0.08
"shop",0.08
"shows",0.08
"steakhouse",0.08
"stores",0.08
"su",0.08
"sushi",0.08
"throughout",0.08
"trails",0.08
"transit",0.08
"united",0.08
"vintage",0.08
"washington",0.08
"wide",0.08
"-site",0.07
"area's",0.07
"award",0.07
"bands",0.07
"baseball",0.07
"boutique",0.07
"cafe",0.07
"city's",0.07
"corner",0.07
"crowd",0.07
"dance",0.07
"decor",0.07
"deli",0.07
"east",0.07
"exit",0.07
"fresh",0.07
"grille",0.07
"hands-",0.07
"history",0.07
"hot",0.07
"items",0.07
"kids",0.07
"large",0.07
"league",0.07
"list",0.07
"memorial",0.07
"men's",0.07
"musical",0.07
"new",0.07
"offer",0.07
"par",0.07
"performers",0.07
"plays",0.07
"plaza",0.07
"programs",0.07
"riverfront",0.07
"sa",0.07
"service",0.07
"show",0.07
"special",0.07
"stadium",0.07
"sunday",0.07
"trail",0.07
"venue",0.07
"venues",0.07
"weekend",0.07
"west",0.07
"wireless",0.07
"year-round",0.07
