"","packages"
"divers",0.14
"inclusive",0.14
"dive",0.1
"padi",0.1
"dives",0.09
"scuba",0.09
"underwater",0.09
"delivered",0.08
"include",0.08
"package",0.08
"adventures",0.07
"diving",0.07
"lodging",0.07
"snorkeling",0.07
