"","mix"
"eclectic",0.18
"usually",0.1
"meat",0.09
"often",0.09
"always",0.08
"clubs",0.08
"courses",0.08
"different",0.08
"especially",0.08
"generally",0.08
"night",0.08
"variety",0.08
"areas",0.07
"asian",0.07
"bars",0.07
"cheap",0.07
"club",0.07
"common",0.07
"cuisine",0.07
"european",0.07
"expensive",0.07
"food",0.07
"friendly",0.07
"gay",0.07
"like",0.07
"mixed",0.07
"music",0.07
"offer",0.07
"offering",0.07
"outside",0.07
"prices",0.07
"salads",0.07
"selection",0.07
"tend",0.07
"try",0.07
"vendors",0.07
